FIFA Version Name,Name,Position,Age,Overall rating,Potential,Team,Contract Dates,Height,Weight,Foot,Best overall,Best position,Joined,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Composure,Total defending,Marking,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,Weak foot,Skill moves,Attacking work rate,Defensive work rate,International reputation,Body type,Real face,Pace / Diving,Shooting / Handling,Pacing / Kicking,Dribbling / Reflexes,Defending / Pace,Physical / Positionings,Nationality,Player Specialities,Club League Name,Club Position,Club Kit Number,Contract Valid Until,National Team Position,National Team Kit Number,Player Image URL,Profile URL
FIFA 13,E. Cavani,ST,25,87,89,Napoli,2010 ~ 2017,"184cm / 6'0""",74kg / 163lbs,Right,85,ST,1-Jul-10,€25.5M,€120K,€ 0,402,70,90,85,74,83,361,79,75,73,50,84,389,80,86,84,80,59,427,85,92,94,76,80,388,86,55,90,75,82,0,96,24,45,27,53,12,5,13,13,10,2116,445,3,3,High,High,4,Lean (170-185),Yes,83,86,70,80,43,83,Uruguay,"Engine, Clinical finisher",Serie A,LS,7,2017,LS,21,https://cdn.sofifa.net/players/179/813/13_120.png,https://sofifa.com/player/179813/edinson-cavani/130034/
FIFA 13,M. Özil,"CAM, LM, RM, CM",23,87,90,Real Madrid,2010 ~ 2016,"181cm / 5'11""",70kg / 154lbs,Left,86,CAM,1-Aug-10,€31M,€140K,€ 0,379,86,74,54,88,77,421,87,84,79,80,91,399,78,76,85,86,74,326,70,53,69,58,76,344,56,33,85,92,78,0,57,22,16,19,50,6,14,10,6,14,1976,411,2,4,Medium,Low,3,Lean (170-185),Yes,77,75,87,87,25,60,Germany,"Playmaker, Crosser",La Liga,CAM,10,2016,CAM,8,https://cdn.sofifa.net/players/176/635/13_120.png,https://sofifa.com/player/176635/mesut-ozil/130034/
FIFA 13,S. Agüero,"ST, CF, CAM",24,87,89,Manchester City,2011 ~ 2017,"175cm / 5'9""",75kg / 165lbs,Right,86,CF,28-Jul-11,€25.5M,€140K,€ 0,400,70,90,72,82,86,397,90,82,72,63,90,440,93,85,86,86,90,372,86,76,66,65,79,337,57,24,87,83,86,0,45,13,20,12,59,13,15,6,11,14,2050,427,4,4,High,Low,4,Normal (170-185),Yes,89,86,76,89,23,64,Argentina,"Dribbler, Acrobat",Premier League,ST,16,2017,LW,16,https://cdn.sofifa.net/players/153/079/13_120.png,https://sofifa.com/player/153079/sergio-aguero/130034/
FIFA 13,N. Vidić,CB,30,87,87,Manchester United,2006 ~ 2014,"189cm / 6'2""",88kg / 194lbs,Right,86,CB,5-Jan-06,€12.5M,€110K,€ 0,277,40,37,91,68,41,265,48,43,48,62,64,288,53,61,50,77,47,334,60,90,64,92,28,319,92,83,26,56,62,0,267,91,91,85,45,12,5,14,8,6,1795,383,3,2,Medium,High,3,Normal (185+),Yes,57,41,57,54,89,85,Serbia,"Aerial threat, Tackling, Strength",Premier League,LCB,15,2014,Unknown,Unknown,https://cdn.sofifa.net/players/140/601/13_120.png,https://sofifa.com/player/140601/nemanja-vidic/130034/
FIFA 13,B. Schweinsteiger,"CM, CDM, RM, LM",27,87,88,FC Bayern München,2002 ~ 2016,"183cm / 6'0""",79kg / 174lbs,Right,85,CM,1-Jul-02,€20.5M,€130K,€ 0,403,81,74,75,89,84,411,81,83,76,85,86,364,61,65,75,87,76,399,88,69,80,76,86,413,79,86,81,86,81,0,222,68,77,77,65,14,14,13,13,11,2277,463,3,3,High,High,4,Normal (170-185),Yes,63,80,85,82,76,77,Germany,"Playmaker, Distance shooter, Tactician",Bundesliga,LDM,31,2016,LDM,7,https://cdn.sofifa.net/players/121/944/13_120.png,https://sofifa.com/player/121944/bastian-schweinsteiger/130034/
FIFA 13,P. Lahm,"RB, LB",28,87,87,FC Bayern München,2002 ~ 2016,"170cm / 5'7""",65kg / 143lbs,Right,87,RWB,1-Nov-02,€14.5M,€120K,€ 0,342,83,43,65,85,66,379,80,77,59,78,85,430,83,81,83,91,92,344,57,73,88,59,67,355,51,92,65,78,69,0,266,84,88,94,47,11,12,5,14,5,2163,450,3,3,High,Medium,4,Normal (170-),Yes,82,54,80,83,86,65,Germany,"Tackling, Tactician",Bundesliga,RB,21,2016,LB,16,https://cdn.sofifa.net/players/121/939/13_120.png,https://sofifa.com/player/121939/philipp-lahm/130034/
FIFA 13,W. Rooney,"CF, ST, CAM",26,87,87,Manchester United,2004 ~ 2015,"176cm / 5'9""",83kg / 183lbs,Right,85,CF,31-Aug-04,€21.5M,€130K,€ 0,419,79,87,80,84,89,414,83,84,76,85,86,395,76,79,77,86,77,429,91,80,88,85,85,378,89,39,86,83,81,0,120,29,54,37,49,10,11,13,8,7,2204,461,4,3,High,High,4,Stocky (170-185),Yes,78,87,83,83,44,86,England,"Engine, Distance shooter, Clinical finisher",Premier League,CF,10,2015,ST,10,https://cdn.sofifa.net/players/054/050/13_120.png,https://sofifa.com/player/54050/wayne-rooney/130034/
FIFA 13,A. Robben,"RM, LM, RW, LW",28,87,87,FC Bayern München,2009 ~ 2015,"180cm / 5'11""",80kg / 176lbs,Left,87,CAM,1-Aug-09,€18.5M,€120K,€ 0,386,80,84,54,84,84,425,93,85,84,73,90,453,93,91,92,86,91,368,86,61,67,65,89,328,38,38,87,82,83,0,78,29,24,25,49,10,8,11,5,15,2087,442,2,4,High,Low,4,Normal (170-185),Yes,92,86,81,92,31,60,Netherlands,"Speedster, Dribbler, Distance shooter, Acrobat",Bundesliga,RM,10,2015,LW,11,https://cdn.sofifa.net/players/009/014/13_120.png,https://sofifa.com/player/9014/arjen-robben/130034/
FIFA 13,A. Pirlo,"CM, CDM, CAM",33,87,87,Juventus,2011 ~ 2014,"177cm / 5'10""",68kg / 150lbs,Right,85,CM,1-Jul-11,€10M,€110K,€ 0,374,85,64,56,93,76,444,80,87,88,95,94,352,61,55,67,88,81,325,76,33,69,63,84,384,76,76,58,94,80,0,194,56,74,64,38,6,5,10,9,8,2111,436,4,3,Low,Medium,4,Lean (170-185),Yes,58,72,91,83,66,66,Italy,"Playmaker, FK Specialist",Serie A,CDM,21,2014,CM,21,https://cdn.sofifa.net/players/007/763/13_120.png,https://sofifa.com/player/7763/andrea-pirlo/130034/
FIFA 13,G. Buffon,GK,34,87,87,Juventus,2001 ~ 2015,"191cm / 6'3""",83kg / 183lbs,Right,85,GK,1-Jul-01,€4M,€110K,€ 0,123,19,16,28,42,18,128,21,26,14,30,37,258,49,39,51,74,45,219,34,75,35,55,20,106,35,15,5,15,36,0,74,18,30,26,410,90,80,66,90,84,1318,454,2,1,Medium,Medium,4,Normal (185+),Yes,90,80,66,84,44,90,Italy,Unknown,Serie A,GK,1,2015,GK,1,https://cdn.sofifa.net/players/001/179/13_120.png,https://sofifa.com/player/1179/gianluigi-buffon/130034/
FIFA 13,Á. Di María,"RM, LM",24,86,88,Real Madrid,2010 ~ 2018,"180cm / 5'11""",70kg / 154lbs,Left,85,LW,1-Jul-10,€22.5M,€140K,€ 0,375,90,74,53,81,77,407,86,84,70,82,85,426,90,88,90,77,81,379,88,72,77,64,78,367,76,53,81,84,73,0,153,42,51,60,51,10,7,11,12,11,2158,455,2,4,High,Medium,4,Lean (170-185),Yes,89,78,83,85,50,70,Argentina,"Dribbler, Crosser, Acrobat",La Liga,RM,22,2018,LCM,7,https://cdn.sofifa.net/players/183/898/13_120.png,https://sofifa.com/player/183898/angel-di-maria/130034/
FIFA 13,Juan Mata,"CAM, LM, RM",24,86,88,Chelsea,2011 ~ 2016,"170cm / 5'7""",63kg / 139lbs,Left,85,CAM,24-Aug-11,€25.5M,€130K,€ 0,386,83,79,66,87,71,411,86,82,81,74,88,424,85,73,90,87,89,348,74,72,74,56,72,336,52,39,86,88,71,0,53,15,22,16,46,9,10,14,5,8,2004,413,3,4,Medium,Medium,3,Lean (170-),Yes,78,76,84,87,27,61,Spain,"Dribbler, Playmaker, Acrobat",Premier League,CAM,10,2016,SUB,13,https://cdn.sofifa.net/players/178/088/13_120.png,https://sofifa.com/player/178088/juan-manuel-mata-garcia/130034/
FIFA 13,L. Suárez,"CF, ST",25,86,87,Liverpool,2011 ~ 2016,"181cm / 5'11""",81kg / 179lbs,Right,85,CAM,31-Jan-11,€23.5M,€120K,€ 0,396,77,84,72,82,81,411,91,84,84,64,88,423,86,78,86,88,85,394,82,69,86,76,81,371,78,41,86,81,85,0,113,30,45,38,153,27,25,31,33,37,2261,453,4,4,High,Medium,4,Normal (170-185),Yes,82,83,78,89,42,79,Uruguay,"Dribbler, Acrobat",Premier League,CAM,7,2016,SUB,9,https://cdn.sofifa.net/players/176/580/13_120.png,https://sofifa.com/player/176580/luis-suarez/130034/
FIFA 13,G. Bale,"CF, LW",22,86,91,Tottenham Hotspur,2007 ~ 2016,"183cm / 6'0""",74kg / 163lbs,Left,85,LW,1-May-07,€42M,€140K,€ 0,401,84,84,74,83,76,421,86,87,85,79,84,412,92,94,77,84,65,410,87,68,90,79,86,381,77,67,83,78,76,0,217,68,75,74,52,15,15,11,5,6,2294,494,3,4,High,Medium,4,Lean (170-185),Yes,93,84,82,83,71,81,Wales,Speedster,Premier League,CF,11,2016,Unknown,Unknown,https://cdn.sofifa.net/players/173/731/13_120.png,https://sofifa.com/player/173731/gareth-bale/130034/
FIFA 13,M. Neuer,GK,26,86,91,FC Bayern München,2011 ~ 2016,"193cm / 6'4""",92kg / 203lbs,Right,85,GK,1-Jul-11,€23.5M,€140K,€ 0,100,15,13,19,42,11,112,16,14,11,40,31,287,57,61,48,86,35,251,42,78,44,71,16,117,26,22,12,20,37,0,45,15,16,14,431,90,81,91,82,87,1343,490,4,1,Medium,Medium,3,Normal (185+),Yes,90,81,91,87,59,82,Germany,Unknown,Bundesliga,GK,1,2016,GK,1,https://cdn.sofifa.net/players/167/495/13_120.png,https://sofifa.com/player/167495/manuel-neuer/130034/
FIFA 13,Thiago Silva,CB,27,86,88,Paris Saint-Germain,2012 ~ 2017,"183cm / 6'0""",79kg / 174lbs,Right,85,CB,1-Jul-12,€18.5M,€120K,€ 0,332,67,38,81,77,69,362,68,61,73,80,80,390,81,82,75,84,68,387,78,79,78,79,73,372,77,91,59,74,71,0,272,91,92,89,45,9,12,5,9,10,2160,454,3,2,Medium,High,3,Normal (170-185),Yes,82,57,74,73,90,78,Brazil,"Tackling, Tactician",Ligue 1,LCB,2,2017,RCB,3,https://cdn.sofifa.net/players/164/240/13_120.png,https://sofifa.com/player/164240/thiago-emiliano-da-silva/130034/
FIFA 13,Cesc Fàbregas,"CM, CAM, CDM, CF",25,86,88,FC Barcelona,2011 ~ 2016,"179cm / 5'10""",75kg / 165lbs,Right,85,CAM,1-Aug-11,€22.5M,€140K,€ 0,408,83,78,74,92,81,422,82,77,81,92,90,361,67,68,65,84,77,364,77,68,75,64,80,370,45,60,86,93,86,0,189,62,65,62,54,6,10,8,15,15,2168,446,3,3,High,Medium,4,Normal (170-),Yes,68,79,89,83,64,63,Spain,Playmaker,La Liga,LCM,4,2016,SUB,10,https://cdn.sofifa.net/players/162/895/13_120.png,https://sofifa.com/player/162895/francesc-fabregas-i-soler/130034/
FIFA 13,Sergio Ramos,"CB, RB",26,86,88,Real Madrid,2005 ~ 2017,"183cm / 6'0""",81kg / 179lbs,Right,84,CB,1-Aug-05,€18.5M,€140K,€ 0,354,74,59,88,78,55,354,66,73,62,70,83,379,79,79,84,77,60,387,71,93,86,82,55,351,84,86,52,63,66,0,255,82,85,88,46,11,8,9,7,11,2126,453,3,3,High,Medium,4,Normal (170-185),Yes,79,60,72,73,85,84,Spain,Unknown,La Liga,LCB,4,2017,LCB,15,https://cdn.sofifa.net/players/155/862/13_120.png,https://sofifa.com/player/155862/sergio-ramos-garcia/130034/
FIFA 13,Piqué,CB,25,86,88,FC Barcelona,2008 ~ 2015,"192cm / 6'4""",85kg / 187lbs,Right,84,CB,1-Jul-08,€18.5M,€140K,€ 0,333,50,58,83,85,57,310,64,43,43,84,76,306,60,63,57,82,44,323,53,74,70,84,42,345,69,89,50,68,69,0,266,89,90,87,58,10,11,14,15,8,1941,419,3,3,High,Medium,4,Normal (185+),Yes,62,54,70,67,89,77,Spain,"Tackling, Tactician",La Liga,RCB,3,2015,RCB,3,https://cdn.sofifa.net/players/152/729/13_120.png,https://sofifa.com/player/152729/gerard-pique-bernabeu/130034/
FIFA 13,M. Gomez,ST,26,86,86,FC Bayern München,2009 ~ 2016,"189cm / 6'2""",88kg / 194lbs,Right,84,ST,1-Jul-09,€21.5M,€130K,€ 0,402,70,87,87,71,87,305,74,66,37,51,77,374,73,84,64,89,64,390,86,76,65,88,75,343,83,31,90,63,76,0,62,19,22,21,46,8,8,9,7,14,1922,411,4,3,Medium,Medium,4,Normal (185+),Yes,79,84,64,74,29,81,Germany,"Poacher, Strength",Bundesliga,SUB,33,2016,SUB,23,https://cdn.sofifa.net/players/150/418/13_120.png,https://sofifa.com/player/150418/mario-gomez/130034/
FIFA 13,C. Tévez,"ST, CF, CAM",28,86,86,Manchester City,2009 ~ 2014,"172cm / 5'8""",76kg / 168lbs,Right,85,CAM,1-Jul-09,€21.5M,€130K,€ 0,400,76,87,67,83,87,396,83,77,82,69,85,418,84,79,81,88,86,414,86,73,90,81,84,405,92,58,89,82,84,0,121,49,38,34,53,7,8,15,14,9,2207,463,3,4,High,High,4,Stocky (170-),Yes,81,86,79,84,48,85,Argentina,"Engine, Clinical finisher",Premier League,SUB,32,2014,Unknown,Unknown,https://cdn.sofifa.net/players/143/001/13_120.png,https://sofifa.com/player/143001/carlos-tevez/130034/
FIFA 13,W. Sneijder,"CAM, CM, LM, RM",28,86,86,Galatasaray SK,2013 ~ 2016,"170cm / 5'7""",67kg / 148lbs,Right,85,RM,22-Jan-13,€21.5M,€130K,€ 0,360,84,60,46,90,80,440,83,88,88,92,89,420,83,75,85,86,91,351,86,51,69,61,84,390,74,68,78,88,82,0,172,48,66,58,50,9,5,13,11,12,2183,450,5,3,Medium,Low,4,Normal (170-),Yes,79,73,89,86,58,65,Netherlands,"Playmaker, FK Specialist",Süper Lig,CAM,14,2016,SUB,15,https://cdn.sofifa.net/players/139/869/13_120.png,https://sofifa.com/player/139869/wesley-sneijder/130034/
FIFA 13,V. Kompany,CB,26,86,88,Manchester City,2008 ~ 2018,"192cm / 6'4""",85kg / 187lbs,Right,84,CB,22-Aug-08,€18.5M,€140K,€ 0,315,61,45,81,82,46,336,70,61,52,74,79,334,69,76,63,84,42,370,76,69,70,88,67,329,75,87,41,63,63,0,259,84,90,85,38,10,9,5,8,6,1981,436,3,2,Medium,Medium,4,Normal (185+),Yes,73,56,70,71,86,80,Belgium,"Tackling, Tactician, Strength, Complete defender",Premier League,RCB,4,2018,LCB,4,https://cdn.sofifa.net/players/139/720/13_120.png,https://sofifa.com/player/139720/vincent-kompany/130034/
FIFA 13,Xabi Alonso,"CM, CDM",30,86,86,Real Madrid,2009 ~ 2014,"183cm / 6'0""",77kg / 170lbs,Right,84,CM,1-Aug-09,€16M,€120K,€ 0,374,79,63,73,88,71,407,65,81,83,94,84,319,57,58,56,83,65,367,86,43,79,77,82,420,81,86,80,91,82,0,226,74,82,70,45,7,8,10,10,10,2158,445,4,2,Medium,High,4,Normal (170-185),Yes,58,74,87,71,78,77,Spain,"Playmaker, Tactician",La Liga,LDM,14,2014,SUB,24,https://cdn.sofifa.net/players/045/197/13_120.png,https://sofifa.com/player/45197/xabier-alonso-olano/130034/
FIFA 13,Y. Touré,"CDM, CM, CAM",29,86,86,Manchester City,2010 ~ 2017,"187cm / 6'2""",78kg / 172lbs,Right,84,CDM,2-Jul-10,€12M,€120K,€ 0,371,67,68,82,86,68,381,80,70,65,83,83,364,74,79,61,85,65,428,86,79,93,92,78,404,86,82,78,85,73,0,240,76,83,81,53,13,14,6,12,8,2241,480,4,3,Medium,High,4,Lean (185+),Yes,77,74,80,79,80,90,Côte d'Ivoire,Strength,Premier League,RDM,42,2017,CAM,19,https://cdn.sofifa.net/players/020/289/13_120.png,https://sofifa.com/player/20289/yaya-toure/130034/
FIFA 13,M. Götze,"CAM, LM, RM, CM",20,85,92,Borussia Dortmund,2009 ~ 2016,"176cm / 5'9""",72kg / 159lbs,Right,84,CAM,1-Nov-09,€36.5M,€140K,€ 0,374,74,76,59,87,78,412,91,81,74,76,90,432,84,82,88,88,90,335,68,64,73,65,65,337,46,54,84,86,67,0,74,16,32,26,49,14,7,12,6,10,2013,424,4,4,Medium,Medium,3,Normal (170-185),Yes,83,72,82,90,34,63,Germany,"Dribbler, Playmaker, Acrobat",Bundesliga,CAM,10,2016,SUB,19,https://cdn.sofifa.net/players/192/318/13_120.png,https://sofifa.com/player/192318/mario-gotze/130034/
FIFA 13,Sergio Busquets,"CDM, CM",23,85,87,FC Barcelona,2008 ~ 2016,"189cm / 6'2""",73kg / 161lbs,Right,83,CDM,1-Sep-08,€14.5M,€120K,€ 0,321,62,60,70,85,44,369,74,66,68,78,83,311,59,54,57,84,57,344,61,66,86,77,54,394,86,86,77,85,60,0,241,78,84,79,48,5,8,13,9,13,2028,430,3,3,Medium,Medium,4,Lean (185+),Yes,56,59,78,75,81,81,Spain,Tactician,La Liga,CDM,16,2016,CM,16,https://cdn.sofifa.net/players/189/511/13_120.png,https://sofifa.com/player/189511/sergio-busquets-burgos/130034/
FIFA 13,R. Lewandowski,"ST, CF",23,85,88,Borussia Dortmund,2010 ~ 2014,"184cm / 6'0""",78kg / 172lbs,Right,84,ST,1-Jul-10,€24M,€130K,€ 0,390,59,85,83,80,83,311,82,67,33,43,86,409,82,82,80,87,78,395,81,85,74,79,76,340,78,38,86,65,73,0,77,20,34,23,51,15,6,12,8,10,1973,423,4,3,High,Medium,3,Normal (170-185),Yes,82,82,64,83,34,78,Poland,Unknown,Bundesliga,ST,9,2014,SUB,9,https://cdn.sofifa.net/players/188/545/13_120.png,https://sofifa.com/player/188545/robert-lewandowski/130034/
FIFA 13,E. Hazard,"LM, CAM, RM",21,85,90,Chelsea,2012 ~ 2017,"172cm / 5'8""",72kg / 159lbs,Right,85,CAM,1-Jul-12,€30M,€130K,€ 0,386,80,78,64,85,79,418,88,82,79,82,87,443,91,86,92,84,90,350,76,59,72,63,80,347,54,41,83,84,85,0,74,25,27,22,45,11,12,6,8,8,2063,433,4,4,High,Low,3,Normal (170-185),No,88,79,83,88,32,63,Belgium,"Dribbler, Acrobat",Premier League,LM,17,2017,SUB,10,https://cdn.sofifa.net/players/183/277/13_120.png,https://sofifa.com/player/183277/eden-hazard/130034/
FIFA 13,A. Vidal,"CM, CDM, CAM",25,85,88,Juventus,2011 ~ 2016,"181cm / 5'11""",75kg / 165lbs,Right,84,CM,1-Jul-11,€20.5M,€120K,€ 0,382,77,76,68,85,76,397,84,78,68,81,86,396,79,79,75,86,77,409,80,79,93,77,80,422,88,86,78,82,88,0,250,76,86,88,53,9,11,13,9,11,2309,485,4,3,High,High,3,Normal (170-185),No,79,78,81,83,81,83,Chile,"Engine, Tackling, Tactician",Serie A,RCM,23,2016,CAM,8,https://cdn.sofifa.net/players/181/872/13_120.png,https://sofifa.com/player/181872/arturo-vidal/130034/
FIFA 13,M. Hummels,"CB, CDM",23,85,88,Borussia Dortmund,2009 ~ 2017,"192cm / 6'4""",90kg / 198lbs,Right,84,CB,1-Jul-09,€19M,€120K,€ 0,335,58,57,90,80,50,343,65,60,61,81,76,340,63,67,64,85,61,343,71,70,68,85,49,359,75,88,48,76,72,0,258,84,88,86,42,15,6,10,5,6,2020,430,3,2,High,Medium,3,Normal (185+),Yes,65,58,73,69,87,78,Germany,"Aerial threat, Tackling, Tactician, Complete defender",Bundesliga,LCB,15,2017,LCB,5,https://cdn.sofifa.net/players/178/603/13_120.png,https://sofifa.com/player/178603/mats-hummels/130034/
